Area,Numero de declaraciones,Renta bruta media,Renta disponible media,Rentas del trabajo,Rentas exentas,Renta bruta,Cotizaciones sociales a la SS,Cuota resultante de autoliquidación,Renta disponible
08001-Ciutat Vella-El Raval,907108,39973,31038,26585572077,1197850291,36259505871,1146599580,6961287402,28154408761
08002-Barrio Gótico,19174,24742,20284,374944659,20630558,474402762,20531406,64967206,388928626
08003-Barceloneta y Sant Pere,7157,32283,25549,163920769,6947596,231047540,8354442,39845113,182851346
08004-Pueblo Seco,16666,31375,24814,393608206,16955961,522893574,19902749,89443879,413554231
08005-El Poblenou,25684,29341,23687,610707771,33346751,1733589643,35748244,115479642,608367936
08006-Sant Gervasi,23750,42955,38976,782937514,35300071,1030192293,39176757,230492539,780742803
08007-Passeig de Grácia-Rambla de Catalunya,19088,56097,42018,684912338,26158410,1070781315,26916439,241838053,802039439
08008-Diagonal-Provença,3132,60936,45295,106994829,3647861,190850155,4183152,44802059,141864944
08009-Dreta de L Eixample,4089,64197,47799,146482560,5337935,262501612,5545462,61507937,195451323
08010-Tetuán-Urquinaona,7224,51739,39039,248817151,10448334,373760672,10077963,81671241,282021028
08011-Urgel-Sant Antoni,5616,52614,39489,192646391,6001167,295477792,7871717,65852125,221769075
08012-Vila de Gracia,13278,41431,31936,406873457,15000263,550123298,17795865,108301681,424043716
08013-Glories Catalanes,34409,37317,29226,1012536460,45630427,1284025935,48444971,233397505,1005648560
08014-Hostafrancs-Sants,37478,34764,27445,1065834382,47505822,1302892292,48401618,225930935,1028597202
08015-Sant Antoni,35216,38603,30222,1035948420,45532765,1359454803,45013531,250149951,1064313163
08016-La Prosperitat-Porta,28684,28059,23077,667148346,35433943,804846822,31491374,111434034,661948822
08017-Vallvidrera-Tibidabo i Les Planes,18583,96094,68786,909424838,25575686,1785709056,27471395,482134071,1278251262
08018-Sant Martí,23765,37045,29013,713300518,36277971,880370516,32990696,157916182,689487862
08019-Diagonal Mar i El Front Marítim Del Poblenou,18369,35947,28159,506498505,26509329,660316164,33023300,119765449,517254103
08020-La Verneda i La Pau,32778,28797,23629,831796883,41952947,944012184,46410906,133002505,734111551
08021-Muntaner,15907,89809,64945,731831445,23359841,1428584398,37025451,372025394,1033874698
08022-Sant Gervasi-La Bonanova,16976,74453,54740,809083726,24373944,1263913640,24373944,310296913,929266044
08023-Vallcarca i Los Penitentes,21099,45472,34775,692164475,29810806,959413641,28166307,197529336,733718326
08024-Gracia-La Salud,32666,37740,29593,962277692,41514999,1232799414,41514999,224626208,966674466
08025-Sagrada Familia,39463,36537,28705,1149534064,53079815,1441856837,49943910,259171442,1132769295
08026-El Clot,23061,33152,26360,630019235,27050560,764521585,221585,29126497,607885872
08027-La Sagrera,37037,32101,25789,998771231,48831335,1188917086,1188917086,45390885,955162064
08028-Les Corts,43488,38746,30289,1336841750,58558588,1698918867,1698918867,55562761,1328120881
08029-L Nou Esquerra de L Eixample,31988,46249,35397,1082579315,44965061,1479416977,304591891,42612531,1132274494
08030-Sant Andreu-Bon Pastor,41555,32391,31931,1139350119,58146128,1368493119,53147929,53147929,1097893677
08031-Vilapicina i La Torre Llobeta,23436,30610,24822,591010418,30891474,717365069,27383682,27383682,581726149
08032-El Carmelo-El Guinardó,30391,31116,25113,764978511,38634432,945634597,36081902,36081902,763217826
08033-Vallbona-Ciutat Meridiana-Torre Baro-Canyelles,12327,22522,19137,233031337,16240441,277626186,11898204,11898204,235904695
08034-Pedralbes-Sarriá,15868,98883,71197,799355244,26812091,1156977063,416024792,416024792,1129761419
08035-Sant Genís Dels Agudells-Vall D Hebrón-Horta,15851,35776,28295,438301587,21615189,567079343,99221708,99221708,448500396
08036-L Antiga Esquerra de L Eixample,13557,48021,36727,454004239,18666506,653465938,137037637,137037637,497908181
08037-Verdaguer-L Eixample,9860,49102,37569,318889603,14594959,484144489,12848337,12848337,370430201
08038-Sants- Montjuic-La Marina de Port,15446,33016,28332,380649952,23536337,450432599,11081752,11081752,368150010
08041-Guinardó i Hospital de Sant Pau,20717,34383,27255,589709722,24290556,712304852,21230754,23530754,564641929
08042-La Guineueta-Verdún,24268,26746,22229,550782507,31671429,649061037,25740130,25740130,539444969
Resto,27846,30800,24173,637074756,34870785,857651992,30618938,30618938,673111910
