Area,Numero de declaraciones,Renta bruta media,Renta disponible media,Rentas del trabajo,Rentas exentas,Renta bruta,Cotizaciones sociales a la SS,Cuota resultante de autoliquidación,Renta disponible
E) madrid-28079,1.849.834,41.042,31.94,57.163.829.241,2.548.602.995,75.921.336.367,2.401.793.100,14.439.106.192,59.083.045.626
28001-Salamanca- Goya,14.927,99.147,73.36,667.322.688,27.115.841,1.479.971.325,20.101.712,364.848.279,1.095.039.693
28002-Chamartin,40.032,54.553,41.291,1.524.513.754,63.064.846,2.183.863.297,55.372.873,475.598.667,1.652.952.693
28003-Chamberi-Rios Rosas,33.864,57.611,43.38,1.326.657.820,55.140.131,1.950.944.373,47.054.240,435.403.399,1.469.026.312
28004-Justicia,23.614,48.482,36.661,779.330.756,32.731.266,1.144.857.495,33.046.134,246.127.316,865.721.101
28005-Arganzuela,51.479,39.451,30.822,1.627.517.116,66.925.751,2.030.899.900,70.442.681,373.806.160,1.586.707.779
28006-Castellana,23.661,84.42,62.343,1.055.395.840,45.246.898,1.997.466.601,32.720.477,489.704.689,1.475.102.507
28007-Adelfas,51.17,45.95,35.535,1.809.120.596,74.032.951,2.351.238.646,66.788.704,466.171.845,1.818.323.436
28008-Moncloa,22.838,54.297,41.479,802.614.700,32.519.874,1.240.030.663,29.695.291,263.071.018,947.299.420
28009-Ibiza-Nifio Jesis,26.698,59.436,44.942,1.025.298.000,42.543.937,1.586.810.799,35.926.394,351.073.641,1.199.859.064
28010-Almagro,26.037,70.444,52.329,1.095.433.695,41.847.165,1.834.153.337,37.411.947,434.296.461,1.362.490.295
28011-Latina,36.75,29.233,23.846,902.802.722,39.141.368,1.074.318.916,41.547.387,156.466.754,876.325.296
28012-Embajadores,26.809,33.415,26.447,683.578.552,29.794.565,895.824.502,33.641.594,153.180.699,709.028.878
28013-Centro,7.402,44.204,34.051,215.847.998,9.289.204,327.201.353,9.150.882,66.011.391,252.045.196
28014-Retiro,10.173,60.918,46.212,366.520.427,15.401.216,619.718.181,12.905.916,136.725.653,470.109.911
28015-Universidad,39.963,46.374,35.673,1.339.350.236,54.044.655,1.853.229.401,53.098.346,374.595.166,1.425.603.431
