Area,Numero de declaraciones,Renta bruta media,Renta disponible media,Rentas del trabajo,Rentas exentas,Renta bruta,Cotizaciones sociales a la SS,Cuota resultante de autoliquidación,Renta disponible
Valencia-46250,430338,32215,25663,10489636417,529757646,13863342406,472315841,2347424999,11043838397
46001-El Pilar,6025,37647,29463,151231279,6661032,226823521,6744321,42565990,177517029
46002-El Centro,2299,44159,32143,72028498,3581215,98545570,4325269,14556790,62423358
46003-Carmen,6365,44469,34148,173238498,17419771,284255570,7065795,59835056,217348320
46004-Pla de Remei,5573,100317,72136,212717303,7448173,559668550,6566317,15038283,402122729
46005-Gran Vía,11099,47801,36233,53422852,14903524,530534858,14903524,115053835,402176589
46006-Ruzafa,26229,26229,23797,606717496,30131550,771284632,27613332,191524227,628451380
46007-Patraix,24157,33165,22646,606717446,29134995,802363297,26958130,137043174,624376272
46008-Extramurs,16752,39256,23893,452348130,26591380,545130781,22476456,93496565,475399780
46009-Marchalenes,24056,37610,22623,545130781,28762503,549130781,9585627,54322032,544220372
46010-Mestalla,15021,42611,31217,468490740,23704432,773577563,17129656,90856123,498570740
46011-Poblet Maritims,17137,37584,28029,605277363,3321750,905277362,23930333,22142019,370257350
46012-La Albufera,3765,37425,25843,677446096,4794649,617746096,4794649,4794649,48540109
46013-Quatre,10761,30624,24453,259959202,13798174,329544426,12293102,54112182,263141221
46014-Barrio de La Luz,20995,35192,24464,367496905,14211185,367496905,16038720,11000795,294922604
46015-Campanar,24268,39403,27457,677714616,37169565,849397159,31965485,153447754,666328380
46016-Tavernes Blanques,1566,28072,22858,43480041,1787891,43480041,1668697,6498677,35794870
46017-La Cruz Cubierto,2338,24955,20018,40360633,2643545,40360633,2491776,2643545,29795014
46018-La Luz,26335,26556,25906,571623132,3198833,565431279,29342369,95757537,57450450
46019-Torrefiel,19339,25380,20957,412593552,24075335,469492093,20297936,66353350,41054671
46020-Benimaclet,18167,27344,25237,561116944,55526377,654612162,24314946,81125770,47487933
46021-Algirós,19186,34190,27109,514176860,2406229,65596421,21142832,116446253,61120179
46022-Ayora,2751,29041,23545,673371240,23724097,805927221,3026050,12242752,65340950
46023-La Crus Del Grao,17540,34710,28417,516884137,28152670,8695321,35000000,14383779,43140981
46024-Nazaret,5789,35472,20572,122431824,6121347,147456758,6142371,9925081,120594504
46025-Benicalap,18579,25442,21037,399682696,12295690,472681701,9948032,6225739,45740721
46026-Malilla,17938,25070,21431,299662692,12743952,399682696,12452198,9999774,80537420
46035-Sant Pau-Benimamet,6377,22556,18982,121532679,6279643,14383779,6279643,16512241,12104649
46112-Massarrochos-Santa Bárbara,1402,48288,31822,4945092,2377462,4945092,17842031,2132476,3058185
Resto,18390,29580,23441,54397591,17842031,54397591,83123789,95067534,431078535
