POI,Lon,Lat,Address
city_center,2.170037,41.386968,"Catalonia Square, Plaça de Catalunya, 08001 Barcelona, Spain"
metro,2.167015,41.385919,"Carrer de Balmes, 1, 08007 Barcelona, Spain"
metro,2.167646,41.386095,"Carrer de Bergara, 3, 08007 Barcelona, Spain"
metro,2.169598,41.385842,"BitBase ATM, Plaça Catalunya, 1, 08002 Barcelona, Spain"
metro,2.169503,41.385707,"BitBase ATM, Plaça Catalunya, 1, 08002 Barcelona, Spain"
metro,2.151636,41.399679,"Via Augusta, 59, 08006 Barcelona, Spain"
metro,2.152429,41.400039,"Col·legi d'Economistes de Catalunya, Via Augusta, 08006 Barcelona, Spain"
metro,2.152507,41.399554,"unnamed road, 08006 Barcelona, Spain"
metro,2.158326,41.392331,"Carrer de Provença, 244, 246, 08008 Barcelona, Spain"
metro,2.157649,41.393362,"Carrer del Rosselló, 200, 08008 Barcelona, Spain"
metro,2.157956,41.392909,"Provença, Carrer de Balmes, 08008 Barcelona, Spain"
metro,2.135427,41.397791,"Via Augusta, 08021 Barcelona, Spain"
metro,2.135114,41.397895,"Ametller Origen, Via Augusta, 256, 08017 Barcelona, Spain"
metro,2.135502,41.397638,"Carrer de Ganduxer, 08021 Barcelona, Spain"
metro,2.130075,41.398154,"Carrer del Milanesat, 17, 08017 Barcelona, Spain"
metro,2.130828,41.397781,"Via Augusta, 08022 Barcelona, Spain"
metro,2.143251,41.398645,"Via Augusta, 151, 08006 Barcelona, Spain"
metro,2.142754,41.398631,"Via Augusta, 160-170, 08021 Barcelona, Spain"
metro,2.142852,41.398976,"Fundació Internacional Josep Carreras, Carrer de Muntaner, 383, 08021 Barcelona, Spain"
metro,2.11937,41.399203,"Carrer de la Duquessa d'Orleans, 08034 Barcelona, Spain"
metro,2.118699,41.398423,"Avinguda de Josep Vicenç Foix, 08034 Barcelona, Spain"
metro,2.118998,41.398967,"St.George's School the British School of Catalunya, Carrer de la Duquessa d'Orleans, 08034 Barcelona, Spain"
metro,2.147016,41.401372,"unnamed road, 08006 Barcelona, Spain"
metro,2.125789,41.398544,"Via Augusta, 08021 Barcelona, Spain"
metro,2.124523,41.39935,"Via Augusta, 08034 Barcelona, Spain"
metro,2.125112,41.39896,"Via Augusta, 08034 Barcelona, Spain"
metro,2.137173,41.410227,"la Rotonda, Passeig de Sant Gervasi, 51-53, 08022 Barcelona, Spain"
metro,2.139248,41.405731,"Carrer de Balmes, 394, 08022 Barcelona, Spain"
metro,2.139256,41.406043,"Carrer de Balmes, 408, 08006 Barcelona, Spain"
metro,2.139529,41.405442,"Carrer de Balmes, 400, 08006 Barcelona, Spain"
metro,2.142617,41.403596,"Carrer de Balmes, 08006 Barcelona, Spain"
metro,2.143265,41.403133,"Carrer de Balmes, 319, 08006 Barcelona, Spain"
metro,2.142961,41.40344,"Ultrarapit, Carrer de Balmes, 348, 08006 Barcelona, Spain"
metro,2.147573,41.401403,"Plaça de Molina, 08006 Barcelona, Spain"
metro,2.086746,41.353011,"Carrer de Dolors Almeda i Roig, 08940 Cornellà de Llobregat, Spain"
metro,2.068427,41.351845,"unnamed road, 08940 Cornellà de Llobregat, Spain"
metro,2.148628,41.374547,"unnamed road, 08015 Barcelona, Spain"
