POI,Lon,Lat,Address
city_center,-3.70379,40.41659,"Puerta del Sol, Plaza de la Puerta del Sol, 28013 Madrid, Spain"
metro,-3.645225284,40.3897687,"Frutas y verduras Jesús y Resu, Avenida de la Albufera, 248, 28038 Madrid, Spain"
metro,-3.703317807,40.45033105,"OptiMiza, Calle de Jaén, 29039 Madrid, Spain"
metro,-3.699375742,40.41246303,"Magdalena, Calle de Atocha, 28012 Madrid, Spain"
metro,-3.692490884,40.40884679,"Plaza del Emperador Carlos V, 28012 Madrid, Spain"
metro,-3.676377276,40.47680706,"Bambú-Yuca, Calle de Bambú, 28036 Madrid, Spain"
metro,-3.702188296,40.42904964,"Fuente Glorieta de Bilbao, Glorieta de Bilbao, 28010 Madrid, Spain"
metro,-3.65391434,40.39155775,"Avenida de la Albufera, 28038 Madrid, Spain"
metro,-3.618850584,40.37238111,"Calle del Congosto, 35, 28031 Madrid, Spain"
metro,-3.703978477,40.44696668,"Túnel de Cuatro Caminos, 28003 Madrid, Spain"
metro,-3.703028749,40.45427875,"Calle de Francos Rodríguez, 54, 28039 Madrid, Spain"
metro,-3.701811364,40.42000686,"Gran Vía, 28, 28013 Madrid, Spain"
metro,-3.698983453,40.43491591,"Calle de Eloy Gonzalo, 28010 Madrid, Spain"
metro,-3.613471104,40.37018451,"Avenida Ensanche de Vallecas, 14, 28051 Madrid, Spain"
metro,-3.599533888,40.36322146,"Calle de la Cañada del Santísimo, 28051 Madrid, Spain"
metro,-3.680990946,40.4044466,"Avenida de la Ciudad de Barcelona, 23, 28007 Madrid, Spain"
metro,-3.639511225,40.38731393,"Avenida de la Albufera, 28018 Madrid, Spain"
metro,-3.664145352,40.39553551,"Calle Puerto de Pajares, 2, 28053 Madrid, Spain"
metro,-3.675137364,40.40125568,"Calle de Pedro Bosch, 28007 Madrid, Spain"
metro,-3.666807044,40.48013292,"Arturo Soria, Calle de Arturo Soria, 28033 Madrid, Spain"
metro,-3.689182341,40.46689362,"Paseo de la Castellana, 28046 Madrid, Spain"
metro,-3.658685211,40.3926568,"Calle Teniente Muñoz Díaz, 28018 Madrid, Spain"
metro,-3.669061703,40.39819187,"Calle Monte Ulía, 28053 Madrid, Spain"
metro,-3.701332287,40.44197376,"Túnel de Ríos Rosas, 28003 Madrid, Spain"
metro,-3.624724517,40.38216046,"Vallecas 1-2, Avenida de la Democracia, 28031 Madrid, Spain"
metro,-3.698258342,40.46055089,"Túnel Marqués de Viana - Sor Ángela de la Cruz, 28039 Madrid, Spain"
metro,-3.704666475,40.41234081,"Plaza de Tirso de Molina, 28012 Madrid, Spain"
metro,-3.70110929,40.42618231,"Tribunal, Calle de Barceló, 28004 Madrid, Spain"
metro,-3.695066467,40.46441696,"Calle de Amalia, 1, 28020 Madrid, Spain"
metro,-3.593169837,40.36006503,"Aparcabicis Metro Valdecarros, Avenida Ensanche de Vallecas, 28051 Madrid, Spain"
metro,-3.621308016,40.37959325,"Paseo de Federico García Lorca, 28031 Madrid, Spain"
metro,-3.783925419,40.38363227,"Aviación Española, Calle Fuente de Lima, 28024 Madrid, Spain"
metro,-3.753116583,40.40785518,"Batán, Paseo de la Venta, 28047 Madrid, Spain"
metro,-3.6858519,40.48040886,"Ciudad Sanitaria La Paz, Paseo de la Castellana, 261, 28046 Madrid, Spain"
metro,-3.774618016,40.39697435,"Tarjeta Transporte Público, Calle de Arenas de San Pedro, 28024 Madrid, Spain"
metro,-3.79152548,40.37769758,"Estación de Cuatro Vientos, Paseo de Extremadura, 28917 Madrid, Spain"
metro,-3.68986238,40.45842113,"Paseo de la Castellana, 28020 Madrid, Spain"
metro,-3.69283384,40.49507881,"Calle Fuente Chica, 28034 Madrid, Spain"
metro,-3.807202279,40.34984122,"Escuela Infantil Andersen, Avenida Viñagrande, 2, 28925 Alcorcón, Spain"
metro,-3.735637717,40.41640918,"Ronda Lago, 28011 Madrid, Spain"
metro,-3.709704711,40.42408481,"Shi Shang, Calle de los Reyes, 10, 28015 Madrid, Spain"
metro,-3.6904035,40.4521354,"Paseo de la Castellana, 28020 Madrid, Spain"
metro,-3.695209949,40.50119961,"unnamed road, 28034 Madrid, Spain"
metro,-3.635133826,40.55441859,"Avenida Lomas del Rey, 28701 San Sebastián de los Reyes, Spain"
metro,-3.611465759,40.5597624,"Hospital Infanta Sofía, Paseo de Europa, 28702 San Sebastián de los Reyes, Spain"
metro,-3.658599532,40.52759393,"La Granja, Calle de Sepúlveda, 28108 Alcobendas, Spain"
metro,-3.635571004,40.53194807,"Avenida de la Ermita, 28108 Alcobendas, Spain"
metro,-3.669446787,40.50832463,"Las Tablas, Calle de Palas de Rey, 28050 Madrid, Spain"
metro,-3.646883387,40.55047959,"Calle de Manuel de Falla, 28100 Alcobendas, Spain"
metro,-3.637392615,40.54101898,"Marqués de la Valdavia, Calle del Marqués de la Valdavia, 28100 Alcobendas, Spain"
metro,-3.695759278,40.50525032,"Avenida del Monasterio de Silos, 63, 28049 Madrid, Spain"
metro,-3.623403334,40.55037444,"Reyes Católicos, Avenida Plaza de Toros, 28703 San Sebastián de los Reyes, Spain"
metro,-3.6626495,40.5155342,"Ronda de la Comunicación, 28108 Madrid, Spain"
metro,-3.727911159,40.38082724,"Colegio de Educación Infantil y Primaria Julián Besteiro, Avenida de Abrantes, 79, 28025 Madrid, Spain"
metro,-3.751916264,40.37199789,"Plaza de Carabanchel Alto, 28054 Madrid, Spain"
metro,-3.77783378,40.35795246,"Calle de San José, 28917 Leganés, Spain"
metro,-3.756906024,40.36421751,"La Peseta, Calle de Salvador Allende, 28054 Madrid, Spain"
metro,-3.734171678,40.37585969,"Calle de Besolla, 28025 Madrid, Spain"
metro,-3.739106223,40.373594,"Anillo Verde Ciclista, 28044 Madrid, Spain"
metro,-3.831780169,40.35008149,"Avenida de Móstoles, 28291 Alcorcón, Spain"
metro,-3.736641504,40.30080675,"Avenida de los Reyes Católicos, 28904 Getafe, Spain"
metro,-3.75682805,40.28873925,"Pº Juan José Roson - Est. Arroyo Culebro, Paseo de Juan José Rosón, 28905 Getafe, Spain"
metro,-3.759428417,40.32659685,"La Cubierta de Leganés, 28912 Leganés, Spain"
metro,-3.745771718,40.29324358,"Conservatorio, Senda de Mafalda, 28905 Getafe, Spain"
metro,-3.729638477,40.32906791,"Centro Comercial El Bercial, Avenida Comandante José Manuel Ripollés, 28091 Getafe, Spain"
metro,-3.740186134,40.33663166,"Domino's, Avenida del Rey Juan Carlos I, 87, 28916 Leganés, Spain"
metro,-3.70985858,40.31862322,"El Casar, Avenida El Casar, 28093 Getafe, Spain"
metro,-3.798909369,40.28267241,"Calle de la Vía, 28943 Fuenlabrada, Spain"
metro,-3.73403382,40.30992262,"Getafe Centro, Calle de la Estación, 28901 Getafe, Spain"
metro,-3.816427066,40.28574839,"Hospital Universitario de Fuenlabrada., Camino del Molino, 2, 28942 Fuenlabrada, Spain"
metro,-3.874715029,40.31652112,"Calle del Río Ebro, 28938 Móstoles, Spain"
metro,-3.76797843,40.32176555,"Hospital Severo Ochoa, Leganés - Fuenlabrada, 28911 Leganés, Spain"
metro,-3.72225015,40.31179863,"Avenida de España, 28902 Getafe, Spain"
metro,-3.752668025,40.33474027,"Plaza Virgen Madre, 28915 Leganés, Spain"
metro,-3.771544564,40.32897617,"Leganés, Plaza José Luis López de Aranguren, 28911 Leganés, Spain"
metro,-3.837691908,40.29680382,"Calle de la Alegría, 28942 Fuenlabrada, Spain"
metro,-3.718203882,40.32422047,"Los Espartales, Avenida de Rigoberta Menchú, 28903 Getafe, Spain"
metro,-3.86402699,40.30902476,"Manuela Malasaña, Calle de Canícula, 28938 Móstoles, Spain"
metro,-3.863545433,40.3284971,"Móstoles, Calle Parque Vosa, 28932 Móstoles, Spain"
metro,-3.786982308,40.28683533,"Calle de Venezuela, 28945 Fuenlabrada, Spain"
metro,-3.806326586,40.28517056,"Francia - Est. Parque Eurpoa, Calle de Francia, 28943 Fuenlabrada, Spain"
metro,-3.821201089,40.3496796,"Calle Porto Lagos, 28924 Alcorcón, Spain"
metro,-3.849343411,40.34589074,"Universidad Rey Juan Carlos, Avenida de Europa, 28291 Alcorcón, Spain"
metro,-3.86489449,40.32167612,"Pradillo, Avenida Dos de Mayo, 28931 Móstoles, Spain"
metro,-3.812495254,40.34542573,"Avenida de Leganés, 28924 Alcorcón, Spain"
metro,-3.775876337,40.33615451,"Avenida del Mar Mediterráneo, 28913 Leganés, Spain"
metro,-3.872188547,40.33511701,"Universidad Rey Juan Carlos, Avenida Alcalde de Móstoles, 28933 Móstoles, Spain"
metro,-3.623514403,40.41828444,"Calle de los Hermanos García Noblejas, 133, 28037 Madrid, Spain"
metro,-3.612070828,40.42239066,"Dresde, Avenida de Guadalajara, 28037 Madrid, Spain"
metro,-3.694966495,40.41921937,"Calle de Alcalá, 28014 Madrid, Spain"
metro,-3.704337221,40.43840594,"Bravo Murillo impares, Calle de Bravo Murillo, 28015 Madrid, Spain"
metro,-3.675912376,40.42453957,"Calle de Alcalá, 96, 28009 Madrid, Spain"
metro,-3.639147584,40.42361352,"Calle Arriaga, 28017 Madrid, Spain"
metro,-3.650528497,40.42661312,"Avenida del Marqués de Corbera, 58, 28017 Madrid, Spain"
metro,-3.603312655,40.42374301,"Paseo de Ginebra, 28022 Madrid, Spain"
