POI,Lon,Lat,Address
city_center,-0.376619,39.469766,"Llibreria Municipal, Plaça de l'Ajuntament, 46002 Valencia, Spain"
metro,0.4026173,39.4510701,Balearic Sea
metro,-0.3028439,39.6204498,"Puçol, Carrer de la Font de Mora, 46053 Puçol, Spain"
metro,-0.3118829,39.5881886,"El Puig, Plaça d'Aiora, 46540 el Puig de Santa Maria, Spain"
metro,-0.3183361,39.55568,"Massalfassar, Camí de l'Estació, 46560 Massalfassar, Spain"
metro,-0.3206417,39.5432974,"Albuixech, Carrer de Sant Antoni, 46550 Albuixech, Spain"
metro,-0.3238483,39.5261963,"Carrer de Sant Isidre, 46550 Meliana, Spain"
metro,-0.33004,39.5789123,"La Pobla de Farnals, Carrer Papa Joan XXIII, 46139 la Pobla de Farnals, Spain"
metro,-0.3308699,39.5879683,"Rafelbunyol, Carrer València, 46138 Rafelbunyol, Spain"
metro,-0.3326916,39.5703014,"Passeig de Rei Jaume I, 3A, 46130 Massamagrell, Spain"
metro,-0.3386346,39.4648555,"Marítim, Carrer de Jeroni de Montsoriu, 46022 Valencia, Spain"
metro,-0.3407042,39.5617469,"Museros, Carrer de Sagunt, 46136 Museros, Spain"
metro,-0.3431272,39.4677747,"Ayora, Carrer dels Sants Just i Pastor, 46022 Valencia, Spain"
metro,-0.3479811,39.5453392,"Albalat dels Sorells, Carrer del Pare Salvador Mollá, 46134 Albalat dels Sorells, Spain"
metro,-0.35049,39.4703326,"Amistat, Carrer dels Sants Just i Pastor, 46021 Valencia, Spain"
metro,-0.3516207,39.5280117,"Meliana, Carrer del Lledoner, 46133 Meliana, Spain"
metro,-0.3523606,39.5008914,"Alboraia Peris Aragó, Calle del Canónigo Julián, 46120 Alboraia / Alboraya, Spain"
metro,-0.353825,39.5372733,"Foios, Plaça de l'Estació, 46134 Foios, Spain"
metro,-0.3542038,39.512224,"Almàssera, Carrer del Mestre Serrano, 46132 Almàssera, Spain"
metro,-0.3555609,39.4958197,"Alboraia Palmaret, Avinguda de l'Orxata, 46120 Alboraia / Alboraya, Spain"
metro,-0.3575395,39.4724072,"Aragó, Avinguda d'Aragó, 46021 Valencia, Spain"
metro,-0.3587134,39.492086,"Machado, Carrer d'Emili Baró, 46020 Valencia, Spain"
